N,P,K,ph,soil_health_score,deficiency_report,soil_health_class
90,42,43,6.502985292000001,100.0,No major deficiency,Healthy
85,58,41,7.038096361,100.0,No major deficiency,Healthy
60,55,44,7.840207144,90.0,ph excess,Healthy
74,35,40,6.980400905,90.0,P deficient,Healthy
78,42,42,7.628472891,90.0,ph excess,Healthy
69,37,42,7.073453503,90.0,P deficient,Healthy
69,55,38,5.70080568,90.0,K deficient,Healthy
94,53,40,5.718627177999999,100.0,No major deficiency,Healthy
89,54,38,6.685346424,90.0,K deficient,Healthy
68,58,38,6.336253525,90.0,K deficient,Healthy
91,53,40,5.386167788,90.0,ph deficient,Healthy
90,46,42,7.50283396,90.0,ph excess,Healthy
78,58,44,5.108681786,90.0,ph deficient,Healthy
93,56,36,6.98435366,90.0,K deficient,Healthy
94,50,37,6.94801983,90.0,K deficient,Healthy
60,48,39,7.042299068999999,90.0,K deficient,Healthy
85,38,41,6.2490506560000005,90.0,P deficient,Healthy
91,35,39,6.970859754,80.0,"P deficient, K deficient",Healthy
77,38,36,5.953933276,80.0,"P deficient, K deficient",Healthy
88,35,40,5.85393208,90.0,P deficient,Healthy
89,45,36,6.442475375,90.0,K deficient,Healthy
76,40,43,5.070175667,90.0,ph deficient,Healthy
67,59,41,6.012632591,100.0,No major deficiency,Healthy
83,41,43,6.254028451,100.0,No major deficiency,Healthy
98,47,37,7.375482851,90.0,K deficient,Healthy
66,53,41,7.778915154,90.0,ph excess,Healthy
97,59,43,6.2865001760000006,100.0,No major deficiency,Healthy
97,50,41,7.070959995,100.0,No major deficiency,Healthy
60,49,44,6.244841491,100.0,No major deficiency,Healthy
84,51,35,6.043304899,90.0,K deficient,Healthy
73,57,41,5.824709117,100.0,No major deficiency,Healthy
92,35,40,6.3573893660000005,90.0,P deficient,Healthy
85,37,39,6.364134967999999,80.0,"P deficient, K deficient",Healthy
98,53,38,5.01450727,80.0,"K deficient, ph deficient",Healthy
88,54,44,6.149410611,100.0,No major deficiency,Healthy
95,55,42,5.950660556,100.0,No major deficiency,Healthy
99,57,35,5.960370061,90.0,K deficient,Healthy
95,39,36,5.561398642,80.0,"P deficient, K deficient",Healthy
60,43,44,7.416245107000001,100.0,No major deficiency,Healthy
63,44,41,5.583370042,100.0,No major deficiency,Healthy
